TEMP,DEWP,VISIB,WDSP,MXSPD,MAX,MIN,PRCP
53.7,52.8,0.1,0.6,1.9,57.2,48.7,0
53.4,51.4,0.6,0.7,6,56.3,48.7,0
53.7,50,1.1,1.5,2.9,56.1,50.4,0
53.8,48.9,0.8,0.4,1.9,63.5,47.5,0
53.1,49.5,0.6,1.2,2.9,57.9,46.4,0
50.6,44.4,0.9,1.7,4.1,57.7,45.7,0
54.3,47.6,0.8,1.1,2.9,64.4,46.4,0
52.8,49.7,0.4,0.3,1.9,63.3,43.7,0
54.6,50.3,0.5,0,1.9,65.8,47.1,0
58.9,50.1,0.7,0,1.9,72.9,44.6,0
57,52.7,0.7,0,1.9,76.6,47.1,0
64.3,54.6,1,0.4,1.9,79.5,48.2,0
67.3,57.7,0.9,1,2.9,80.2,59,0
64.4,57.4,0.8,0.5,2.9,78.4,56.1,0
63.4,53.6,1.2,1.7,2.9,77.7,49.3,0
61.7,50.2,1.7,1.9,8,75.6,52,0
56.2,42.6,1.6,1.6,6,70.5,43.9,0
57.9,46.6,1.1,0.9,4.1,72.3,43.2,0
57.4,50,0.7,0.6,1.9,71.6,45.1,0
59.7,47.3,1.4,2,8,76.3,47.5,0
61.6,48.1,1.3,0.1,1,76.1,46.4,0
64,55.3,0.8,0.5,1.9,73.8,48.9,0
62.1,54.8,1,0.1,1,76.3,49.6,0
62.1,54.2,0.7,0,1,77.2,50,0
63.1,54.6,0.7,0.1,1,77.9,49.5,0
63.4,54.5,0.9,0.1,1,77.5,50.5,0
63,56.9,0.7,0.4,1.9,70,49.5,0
65.1,57.5,1.1,1.2,5.1,77.4,54.1,0
61.1,51.9,1.6,1.6,7,74.1,51.6,0
60.7,49.2,1.4,0.6,2.9,75.4,48.4,0
64.4,52.1,1.3,2.4,6,75.4,48.9,0
67.9,53.7,1.4,7.6,9.9,77.4,58.3,0
63.9,56.7,1.6,6.9,12,71.2,59,0.02
62.1,57.4,0.8,1,4.1,74.1,54.3,0
64,55.8,1.4,2.1,5.1,75.6,51.3,0
64.6,59.8,1.2,7.8,9.9,72.7,58.3,0
65.2,61.4,1,3,8,72,59.7,0
61.4,58.2,0.7,1.9,6,69.6,54.9,0
59.5,55,1,0,6,73.4,52.3,0
60,49.2,1.4,1.8,8,74.1,45.9,0
60.4,50.9,1.3,1.6,6,72.9,44.6,0
60.8,56.6,1.1,5.8,14,64.2,52.7,0.16
65.5,61.9,1.1,0.9,4.1,70,61.5,0
65.4,57.4,1.3,1.2,2.9,76.6,56.8,0
63,48.8,2.2,2.3,8,74.8,54.3,0
60.1,46.5,1.7,3.6,12,72,47.3,0
60.4,49.4,1.5,1,5.1,74.7,45.9,0
63.4,51.9,1.3,1.6,6,77,47.3,0
63.8,46.6,1.4,1.8,9.9,80.2,46.9,0
63.4,47.5,1.7,3,8,79.3,49.3,0
61.3,47.5,1.6,0.7,4.1,79.3,46.9,0
64.1,54,1.5,0.6,1.9,79.7,53.2,0
68.4,54.8,1.4,0.7,5.1,81,54.7,0
68.5,47,1.6,5.1,13,80.4,50.5,0
67.8,45,2,5.7,12,80.6,54.7,0
64.1,41.9,1.7,4.6,8,77.7,51.8,0
61.3,44.7,1.6,2.1,8,78.3,47.3,0
65.7,42.5,2.1,3.1,9.9,79.2,50.2,0
66.9,48.6,1.7,1.7,4.1,81.9,51.6,0
65.4,51,2,1.8,2.9,81.5,51.4,0
70.9,55.4,1.2,2.6,6,82,58.6,0
68.8,60.1,1,1.3,5.1,82.9,60.8,0.03
73,58.8,1.7,0.8,1.9,88.2,56.5,0
77.1,61.5,1.2,4.4,9.9,87.1,59.5,0
71.8,65.4,1.1,2.2,5.1,86.7,64,0
71.2,54.8,1.4,3.3,9.9,89.8,60.8,0
72.2,56.8,1.6,1.6,4.1,90.7,56.8,0
73.5,51.1,2.1,3.7,6,88.5,64,0
71.8,45.5,1.9,5.2,14,83.7,55.8,0
70.3,47.1,1.7,7.2,15.9,86.9,54.1,0
74.4,52.5,1.9,5.2,14,88,53.4,0
74.6,59.8,2,6.4,13,85.1,64.6,0
74.9,63.9,1.6,6.5,8,84.2,65.1,0.02
76.2,59.8,1.7,3.7,11.1,86.7,65.1,0.04
72.5,48.8,2.3,6.1,16.9,84.9,58.5,0
74,45.4,2.1,6.4,9.9,86.9,57.7,0
76.9,49.2,2.3,2.5,8,92.8,60.1,0
