 YEARMODA,   TEMP,   DEWP, VISIB,  WDSP, MXSPD,   MAX  ,  MIN  ,PRCP  
20000101,53.7,52.8,0.1,0.6,1.9,   57.2*,48.7,0
20000102,53.4,51.4,0.6,0.7,6,56.3,48.7,0
20000103,53.7,50,1.1,1.5,2.9,56.1,50.4,0
20000104,53.8,48.9,0.8,0.4,1.9,63.5,  47.5*,0
20000105,53.1,49.5,0.6,1.2,2.9,57.9,46.4,0
20000106,50.6,44.4,0.9,1.7,4.1,57.7,45.7,0
20000107,54.3,47.6,0.8,1.1,2.9,64.4,46.4,0
20000108,52.8,49.7,0.4,0.3,1.9,63.3,43.7,0
20000109,54.6,50.3,0.5,0,999.9,65.8,47.1,0
20000110,58.9,50.1,0.7,0,999.9,72.9,44.6,0
20000111,57,52.7,0.7,0,999.9,76.6,47.1,0
20000112,64.3,54.6,1,0.4,1.9,79.5,48.2,0
20000113,67.3,57.7,0.9,1,2.9,80.2,  59.0*,0
20000114,64.4,57.4,0.8,0.5,2.9,   78.4*,56.1,0
20000115,63.4,53.6,1.2,1.7,999.9,77.7,49.3,0
20000116,61.7,50.2,1.7,1.9,8,75.6,52,0
20000117,56.2,42.6,1.6,1.6,6,   70.5*,43.9,0
20000118,57.9,46.6,1.1,0.9,4.1,72.3,43.2,0
20000119,57.4,50,0.7,0.6,1.9,71.6,45.1,0
20000120,59.7,47.3,1.4,2,8,76.3,47.5,0
20000121,61.6,48.1,1.3,0.1,1,76.1,46.4,0
20000122,64,55.3,0.8,0.5,1.9,73.8,48.9,0
20000123,62.1,54.8,1,0.1,1,76.3,49.6,0
20000124,62.1,54.2,0.7,0,999.9,77.2,50,0
20000125,63.1,54.6,0.7,0.1,1,77.9,49.5,0
20000126,63.4,54.5,0.9,0.1,1,77.5,50.5,0
20000127,63,56.9,0.7,0.4,1.9,70,49.5,0
20000128,65.1,57.5,1.1,1.2,5.1,77.4,54.1,0
20000129,61.1,51.9,1.6,1.6,7,74.1,51.6,0
20000130,60.7,49.2,1.4,0.6,2.9,75.4,48.4,0
20000131,64.4,52.1,1.3,2.4,6,75.4,48.9,0
20000201,67.9,53.7,1.4,7.6,9.9,   77.4*,58.3,0
20000202,63.9,56.7,1.6,6.9,12,71.2,59,0.02
20000203,62.1,57.4,0.8,1,4.1,74.1,54.3,0
20000204,64,55.8,1.4,2.1,5.1,75.6,51.3,0
20000205,64.6,59.8,1.2,7.8,9.9,72.7,58.3, 0.00G
20000206,65.2,61.4,1,3,8,72,59.7, 0.00G
20000207,61.4,58.2,0.7,1.9,6,69.6,54.9, 0.00I
20000208,59.5,55,1,0,999.9,73.4,52.3, 0.00I
20000209,60,49.2,1.4,1.8,8,   74.1*,45.9, 0.00I
20000210,60.4,50.9,1.3,1.6,6,72.9,44.6, 0.00I
20000211,60.8,56.6,1.1,5.8,14,64.2,52.7, 0.16E
20000212,65.5,61.9,1.1,0.9,4.1,70,  61.5*, 0.00E
20000213,65.4,57.4,1.3,1.2,2.9,76.6,56.8, 0.00I
20000214,63,48.8,2.2,2.3,8,74.8,  54.3*, 0.00I
20000215,60.1,46.5,1.7,3.6,12,72,47.3, 0.00I
20000216,60.4,49.4,1.5,1,5.1,74.7,45.9, 0.00I
20000217,63.4,51.9,1.3,1.6,6,77,47.3, 0.00I
20000218,63.8,46.6,1.4,1.8,9.9,80.2,46.9, 0.00I
20000219,63.4,47.5,1.7,3,8,79.3,49.3, 0.00I
20000220,61.3,47.5,1.6,0.7,4.1,79.3,46.9, 0.00I
20000221,64.1,54,1.5,0.6,1.9,79.7,53.2, 0.00I
20000222,68.4,54.8,1.4,0.7,5.1,81,  54.7*, 0.00I
20000223,68.5,47,1.6,5.1,13,80.4,50.5, 0.00I
20000224,67.8,45,2,5.7,12,   80.6*,54.7, 0.00I
20000225,64.1,41.9,1.7,4.6,8,77.7,51.8, 0.00I
20000226,61.3,44.7,1.6,2.1,8,78.3,47.3, 0.00I
20000227,65.7,42.5,2.1,3.1,9.9,79.2,50.2, 0.00I
20000228,66.9,48.6,1.7,1.7,4.1,81.9,51.6, 0.00I
20000229,65.4,51,2,1.8,2.9,81.5,  51.4*, 0.00I
20000301,70.9,55.4,1.2,2.6,6,82,58.6, 0.00I
20000302,68.8,60.1,1,1.3,5.1,82.9,  60.8*, 0.03G
20000303,73,58.8,1.7,0.8,1.9,88.2,56.5, 0.00G
20000304,77.1,61.5,1.2,4.4,9.9,87.1,59.5, 0.00I
20000305,71.8,65.4,1.1,2.2,5.1,86.7,64, 0.00I
20000306,71.2,54.8,1.4,3.3,9.9,89.8,60.8, 0.00I
20000307,72.2,56.8,1.6,1.6,4.1,90.7,56.8, 0.00I
20000308,73.5,51.1,2.1,3.7,6,88.5,64, 0.00G
20000309,71.8,45.5,1.9,5.2,14,83.7,55.8, 0.00I
20000310,70.3,47.1,1.7,7.2,15.9,86.9,54.1, 0.00I
20000311,74.4,52.5,1.9,5.2,14,88,53.4, 0.00I
20000312,74.6,59.8,2,6.4,13,85.1,64.6,99.99
20000313,74.9,63.9,1.6,6.5,8,   84.2*,65.1, 0.02G
20000314,76.2,59.8,1.7,3.7,11.1,86.7,65.1, 0.04G
20000315,72.5,48.8,2.3,6.1,16.9,84.9,58.5, 0.00G
20000316,74,45.4,2.1,6.4,9.9,86.9,57.7, 0.00I
20000317,76.9,49.2,2.3,2.5,8,92.8,60.1, 0.00I
20000318,75.5,56.6,1.5,2,6,93.2,57.9, 0.00I
20000319,77.6,48.4,1.7,5.5,13,93.6,61.9, 0.00I
20000320,74.3,40.7,2.2,4.5,9.9,   89.6*,55.4, 0.00I
20000321,77.4,47.3,2.5,1.3,4.1,92.1,54.3, 0.00I
20000325,73.6,50.3,2.3,2,6,88.3,58.8, 0.00I
20000326,76.9,52,1.7,1.7,8,92.3,56.1, 0.00I
20000327,79.4,52.6,1.7,1.7,2.9,95,58.6, 0.00I
20000328,82.1,56.6,2,0.8,2.9,95.7,61.5, 0.00I
20000329,79.8,58.6,1.6,0.7,2.9,96.4,61.7, 0.00I
20000330,82.8,58.6,1.7,1.2,4.1,98.6,64.6, 0.00I
20000331,85.9,55,1.7,2.4,4.1,101.5,66.9, 0.00I
20000401,88.2,50.4,2,5.9,12,103.3,70.9, 0.00I
20000402,88.3,48.7,2.2,7.2,15,102.6,74.5, 0.00I
20000403,83.8,49.5,1.7,5.6,11.1,100,65.1, 0.00I
20000404,85.3,48.4,3,3.9,9.9,101.7,65.8, 0.00I
20000405,90,44.3,2.3,6.1,12,104,69.8, 0.00I
20000406,86.2,46.7,2.5,3.6,9.9,102.9,69.4, 0.00I
20000407,85.5,43.7,2.5,4.1,14,102.6,68, 0.00I
20000408,88.9,42.4,2.5,6.7,18.1,106,  71.2*, 0.00I
20000409,89.8,44,2.2,3.1,8,105.4,69.3, 0.00I
20000410,87.9,51.5,2.6,1.6,2.9,101.1,68.4, 0.00I
20000411,88.6,59.9,2.2,3.5,8,99.3,68.5, 0.00I
20000412,84.8,65.2,2.8,6.8,12,94.3,71.4, 0.00I
20000413,87.8,69.5,2.2,5.4,8,   98.6*,74.7, 0.00I
20000414,86.5,66.5,1.5,9.8,16.9,   95.0*,77, 0.00I
20000415,76.8,66.2,1.8,6.7,14,84.2,68.4, 0.02G
20000416,85.3,67.6,2,1.8,6,94.5,70.3, 0.29G
20000417,89.8,65.1,2.2,3.3,8,  102.2*,73, 0.00G
20000418,86.1,70.9,2.5,6.9,9.9,95.9,72.5, 0.00I
20000419,89.1,73.4,2.4,7.3,13,   96.8*,77, 0.00I
20000420,89.8,76.6,2.3,8.1,14,96.1,  77.4*, 0.00I
20000421,84.6,70.4,2.5,7.5,11.1,   96.8*,68.7, 0.16G
20000422,87.1,76.2,2.4,6.9,9.9,   94.3*,75.4, 0.00G
20000423,93,62.9,2.6,4.2,8,105.1,76.6, 0.02G
20000424,83.4,67.8,2.6,8,11.1,   95.0*,71.8, 0.03G
20000425,80.4,67.8,2.7,9.4,14,   89.6*,72, 0.00G
20000426,82.4,70.1,2.7,9.1,12,90,71.4, 0.00G
20000427,78.6,71.5,2.3,8.5,12,84.9,73.9, 0.12A
20000428,85.3,71,2.7,4.4,9.9,93.6,70.7, 0.47G
20000429,84,75.4,2.2,5.9,9.9,91.8,75.7, 0.00G
20000430,88.1,76.8,2,3,8.9,97,75.7, 0.00I
20000501,91.2,73,2,4.6,12,104.2,78.1, 0.00I
20000502,83.1,71.3,2.8,9.7,15,90,74.5, 0.00I
20000503,83.1,70.9,2.7,10.3,15,92.3,71.8, 0.00I
20000504,86.7,68.1,2.8,8.5,12,95.5,75.2, 0.00I
20000505,89.7,68.8,2.8,6.9,8,97,78.3, 0.00I
20000506,89.4,66.3,2.6,6.6,15,99.9,  77.0*, 0.00I
20000507,85.2,69.8,2.5,5.6,12,   91.4*,76.6, 0.00I
20000508,86,71.4,2.6,4.8,8,96.8,73.6, 0.00I
20000509,92.7,69.3,2.5,2.8,7,100.4,76.3, 0.00I
20000510,92.6,71.4,2.5,2.5,8,102.2,81.7,99.99
20000511,94,69.1,2.6,1.1,8,104.7,80.1, 0.00G
20000512,97.4,68.7,2.7,2.4,6,106.5,83.3, 0.00I
20000513,95.6,74.5,2.1,3.7,12,109.2,85.5, 0.00I
20000514,97.8,68.5,2.4,2.9,6,106.2,83.5, 0.00I
20000515,92.5,70.9,2.1,4,12,104.9,  84.2*, 0.00I
20000516,87,73.2,2.7,2.5,8,93.6,74.7, 0.16G
20000517,87.3,78,2.2,1.2,5.1,97.5,  81.0*, 0.00G
20000518,92.6,76.7,2.7,7.1,45.8,99.3,  81.0*, 0.28G
20000519,91.2,79,2.5,6.6,9.9,97.3,81.9, 0.00G
20000520,84.9,72.7,2.8,8,12,   91.4*,76.1, 0.00I
20000521,80.2,74.9,2.6,4.5,12,   86.0*,73, 2.13G
20000522,83,75.7,2.4,5.8,8,89.8,75.6, 0.16G
20000523,84.2,75.8,2.9,4.7,9.9,90,76.5, 0.00G
20000524,86.4,77,2.6,4.4,8,91.4,77.9, 0.00I
20000525,88.8,78.7,2.5,2,5.1,94.1,81.1, 0.00I
20000526,89.6,75.6,2.9,4.1,8,99,78.3, 0.00I
20000527,88.2,78.4,2.9,4.9,8,97.2,79.3, 0.00I
20000528,86.4,74.8,2.8,7.1,9.9,   95.0*,73.4, 0.00I
20000529,85.1,77.4,2.4,6.6,9.9,   91.4*,  78.1*, 0.00I
20000530,83.8,73.1,2.5,5.4,12,   89.6*,77.4, 0.00E
20000531,83.2,75.1,2.7,5.1,29.9,   89.6*,76.3, 0.28G
20000601,90.5,75.3,2.3,1.6,5.1,  110.5*,77.5, 0.00G
20000602,85.6,76.8,2.5,3.4,8,   91.4*,79.7, 0.02G
20000603,89.8,77.1,2.7,5.3,8,95,  78.8*, 0.08G
20000604,93,77.5,2.8,7.5,25.1,99,83.8, 0.00G
20000605,87.5,76.2,2.5,6,9.9,95.4,  79.5*, 0.12E
20000606,82.1,77.6,2.3,10.2,12,86.7,76.6, 0.31G
20000607,84,78.5,3,8.4,12,90.9,  77.7*, 0.00G
20000608,84.8,79.4,2.5,6.3,9.9,93.2,77.4, 1.10G
20000609,84.8,79.4,2.6,1.9,4.1,91.9,76.3, 1.54G
20000610,85.1,79.7,1.8,0.6,2.9,95.2,  80.6*, 0.12G
